cnae_2.0_subclasse_-_codigo,municipio_-_codigo,ind_vinculo_ativo_31_12_-_codigo
8129000,431410,1
8121400,431410,1
8129000,431410,1
8121400,431410,1
8121400,431410,1
8121400,431410,1
8121400,431410,1
8111700,432010,1
8121400,431410,1
8121400,431265,1
8121400,431410,1
8121400,431410,1
8121400,431410,1
8111700,432340,1
8129000,431410,1
8121400,431410,1
8121400,431410,1
8121400,431410,1
8129000,431410,1
8111700,431410,1
8111700,431410,1
8121400,431410,1
8129000,431410,1
8111700,431410,1
8129000,431410,1
8129000,431410,1
8129000,431410,1
8111700,431410,1
8129000,431410,1
8129000,431410,1
8129000,431410,1
8129000,431410,1
8020001,431410,1
8129000,431410,1
3811400,432340,1
8111700,431410,1
8129000,431410,1
8121400,431265,1
8111700,431410,1
8121400,431410,1
8020001,431660,1
8020001,431660,1
8121400,431410,1
8121400,431410,1
8121400,431410,1
8111700,431410,1
8129000,431410,1
8129000,431410,1
8020001,431410,1
8111700,432340,1
3811400,432340,1
8121400,431410,1
8020001,431410,1
8121400,431265,1
3811400,431370,1
3821100,432040,1
8129000,431410,1
8129000,431410,1
8121400,431265,1
8121400,431410,1
8121400,431265,1
8129000,431410,1
3811400,432340,1
3812200,431410,1
8129000,431410,1
8121400,431410,1
8129000,431410,1
8121400,431410,1
8129000,431410,1
8121400,431410,1
8121400,431265,1
8020001,431410,1
8121400,431410,1
8129000,431410,1
8129000,431410,1
8020001,431370,1
8111700,431410,1
8121400,431410,1
8121400,431410,1
3821100,432320,1
8121400,431410,1
8129000,431410,1
8020001,431410,1
8121400,431410,1
8121400,431265,1
8121400,431410,1
3811400,432340,1
3811400,431370,1
8121400,431410,1
8121400,431265,1
8121400,431265,1
3811400,432340,1
8121400,431410,1
8121400,431410,1
8111700,431410,1
8129000,431410,1
8129000,431410,1
8111700,431410,1
3811400,432340,1
3811400,431370,1
8020001,431370,1
8111700,432340,1
8111700,432010,1
8020001,431410,1
3811400,432185,1
8129000,431410,1
8129000,431410,1
8129000,431410,1
8121400,431410,1
3812200,431410,1
8111700,431410,1
8121400,431410,1
8121400,431410,1
8121400,431410,1
8129000,431410,1
8121400,431410,1
8121400,431410,1
8121400,431410,1
8111700,431410,1
8121400,431410,1
3811400,432340,1
8121400,431410,1
3811400,431370,1
8121400,431410,1
8020001,432010,1
8122200,431670,1
8129000,431410,1
8111700,431410,1
8121400,431410,1
3811400,431410,1
8121400,431410,1
8129000,431410,1
8130300,432080,1
8121400,431410,1
3811400,432340,1
3811400,432340,1
8121400,431265,1
8121400,431410,1
8129000,431410,1
3811400,431370,1
3811400,432340,1
8111700,431410,1
8111700,431410,1
8121400,431410,1
8121400,431265,1
8121400,431265,1
8121400,431410,1
8121400,431410,1
8121400,431410,1
3811400,432340,1
8111700,432010,1
8129000,431410,1
3811400,431370,1
8121400,431265,1
3811400,432340,1
3811400,431370,1
8020001,431370,1
8020001,431370,1
8129000,431410,1
3811400,431370,1
3811400,431370,1
3811400,432340,1
8129000,431410,1
8111700,431410,1
8129000,431410,1
8121400,431410,1
8121400,431410,1
8121400,431410,1
8111700,431410,1
8111700,431410,1
3811400,432340,1
8129000,431410,1
8121400,431410,1
8020001,431410,1
3811400,432340,1
8129000,431410,1
8129000,431410,1
8020001,432090,1
8121400,431265,1
3812200,432290,1
8121400,431410,1
8121400,431410,1
8129000,431410,1
8121400,431410,1
8111700,432010,1
8020001,432090,1
8111700,431410,1
8020001,431410,1
8020001,431370,1
8122200,432320,1
8121400,431410,1
3811400,432340,1
8111700,431410,1
8129000,432090,1
8121400,431410,1
3811400,432340,1
8121400,431410,1
8129000,431410,1
8020001,431410,1
8121400,431410,1
8020001,431660,1
8111700,431410,1
8121400,431265,1
3811400,432340,1
3811400,432340,1
3811400,432340,1
8129000,431410,1
8121400,431410,1
8020001,431660,1
8121400,431410,1
8129000,431410,1
8020001,431410,1
8121400,431410,1
8121400,431410,1
8121400,431410,1
8121400,431410,1
8121400,431410,1
8020001,431410,1
8020001,432050,1
8121400,431410,1
8121400,431410,1
8111700,431410,1
8020001,431410,1
8121400,431410,1
8121400,431265,1
8111700,432340,1
8121400,431265,1
8121400,431265,1
8121400,431410,1
8121400,431410,1
8129000,431410,1
8121400,431265,1
8121400,431410,1
3811400,432340,1
8111700,431410,1
8111700,432010,1
8121400,431265,1
8121400,431410,1
3812200,432290,1
8121400,431410,1
8129000,431410,1
8020001,432090,1
8020001,432090,1
3811400,432340,1
8122200,432320,1
3811400,431370,1
8121400,431410,1
8129000,431410,1
8020001,432090,1
3811400,432340,1
8121400,431410,1
8121400,431410,1
8121400,431410,1
3812200,431410,1
8121400,431410,1
8121400,431410,1
8121400,431265,1
3811400,432340,1
8121400,431265,1
8111700,432010,1
8020001,432090,1
8121400,431410,1
8020001,432090,1
8121400,431410,1
8121400,431410,1
3811400,431370,1
8121400,431410,1
8129000,431410,1
3811400,432340,1
8121400,431410,1
3821100,432320,1
3821100,432320,1
3821100,432320,1
3811400,432340,1
8122200,431670,1
8121400,431410,1
8121400,431265,1
3811400,432340,1
8121400,431410,1
8121400,431410,1
8129000,431410,1
8129000,431410,1
3811400,431410,1
3811400,432340,1
3812200,431410,1
8129000,431410,1
8129000,431410,1
8121400,431410,1
8121400,431410,1
8129000,431410,1
8121400,431265,1
8121400,431265,1
3811400,431410,1
8121400,431410,1
8121400,431410,1
8111700,432340,1
8129000,431410,1
8020001,432090,1
8121400,431410,1
8020001,431410,1
3811400,432185,1
8121400,432090,1
8020001,431410,1
3811400,432340,1
8121400,431410,1
3811400,432340,1
3811400,431370,1
3811400,432340,1
3811400,431410,1
8121400,431410,1
8121400,431265,1
3811400,432185,1
8020001,432090,1
8121400,431410,1
8122200,431370,1
8121400,431410,1
8121400,431410,1
8121400,432090,1
8129000,431410,1
8121400,431410,1
8111700,431410,1
8129000,431410,1
3811400,432340,1
8121400,431410,1
8122200,432320,1
8122200,431370,1
8121400,431410,1
8122200,431410,1
8020001,431410,1
8020001,432090,1
8121400,431410,1
8121400,431265,1
8129000,431410,1
8121400,431410,1
8121400,431410,1
8121400,431265,1
8111700,431410,1
8121400,431410,1
8121400,431410,1
8129000,431410,1
8020001,432090,1
8121400,431265,1
8121400,431265,1
8129000,431410,1
3811400,431410,1
3811400,431370,1
3811400,432340,1
3811400,432340,1
8020001,432090,1
8111700,431410,1
8020001,431410,1
8020001,431410,1
3811400,431410,1
8111700,431410,1
8129000,431410,1
8121400,431265,1
3811400,432340,1
8129000,431410,1
8111700,431410,1
8020001,431660,1
8111700,431410,1
8111700,431410,1
8111700,432010,1
8111700,431410,1
8111700,431410,1
8129000,432090,1
8121400,431410,1
3811400,432340,1
3811400,432340,1
8020001,431370,1
