cnae_2.0_subclasse,municipio,vinculo_ativo_31_12
8111700,432260,1
8121400,431140,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8111700,432260,1
8111700,432260,1
8111700,431395,1
8111700,431395,1
8111700,431395,1
3811400,430780,1
8020001,432260,1
8020001,431570,1
8121400,432260,1
3839401,430780,1
3839401,430780,1
8020001,432260,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
3811400,430420,1
3811400,431415,1
8111700,431140,1
3839401,430780,1
8111700,432260,1
3839401,430780,1
8129000,432130,1
8020001,430780,1
8121400,431680,1
8020001,430420,1
3811400,431680,1
3811400,432260,1
8121400,431680,1
8130300,432145,1
8111700,431140,1
8111700,431140,1
3811400,431140,1
8020001,430780,1
8020001,430780,1
8020001,430650,1
8020001,430650,1
8111700,432130,1
8121400,431680,1
8121400,431680,1
8111700,431140,1
8121400,431680,1
3811400,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
3811400,432070,1
8121400,431680,1
8111700,432260,1
8121400,431140,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431680,1
8020001,431570,1
8020001,431570,1
3839401,430780,1
8121400,431140,1
8121400,431680,1
8122200,432270,1
8122200,432270,1
8111700,431140,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
3839401,430780,1
3839401,430780,1
3811400,431140,1
3811400,431140,1
3811400,431140,1
3811400,431140,1
3811400,431140,1
8129000,432130,1
8129000,432130,1
3811400,431140,1
3811400,431140,1
3811400,431140,1
3811400,431140,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8111700,431680,1
8121400,431140,1
8020001,431140,1
8121400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8020001,430650,1
8121400,431680,1
8111700,431680,1
8121400,431680,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8129000,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8121400,431680,1
8020001,432145,1
8020001,432145,1
8129000,431140,1
8121400,431680,1
8020001,431680,1
8020001,431680,1
3811400,431140,1
8129000,431140,1
8129000,431140,1
3811400,431680,1
8121400,431680,1
8129000,431140,1
8129000,431140,1
8129000,431140,1
3811400,431680,1
8129000,431140,1
8129000,431140,1
8121400,432260,1
8121400,431680,1
8121400,431680,1
8111700,431205,1
8020001,431570,1
8020001,432260,1
8020001,432260,1
8111700,431140,1
3839401,430780,1
3839401,430780,1
8121400,432260,1
8122200,432070,1
8122200,431570,1
3811400,431415,1
8121400,431680,1
8129000,430420,1
3839401,430780,1
8020001,430240,1
3811400,431140,1
8129000,432130,1
3811400,432260,1
8111700,432145,1
8111700,432145,1
8111700,432145,1
8020001,430780,1
8111700,431140,1
8111700,431215,1
8121400,431680,1
8121400,431680,1
3811400,431680,1
8121400,431680,1
8111700,431140,1
8020001,430650,1
8129000,431140,1
8121400,431680,1
8129000,431140,1
8122200,431140,1
8129000,431140,1
8129000,431140,1
8122200,430140,1
8129000,432130,1
8122200,430780,1
3811400,432145,1
3811400,432145,1
3811400,432145,1
8121400,431680,1
8020001,431570,1
8020001,431570,1
3839401,430780,1
8121400,431680,1
8122200,432270,1
8020001,431140,1
8020001,431140,1
8121400,431680,1
3839401,430780,1
3839401,430780,1
3839401,430780,1
3811400,431140,1
8129000,432130,1
8129000,432130,1
3811400,431140,1
3811400,431140,1
3811400,431140,1
8129000,432130,1
8020001,431680,1
8020001,431140,1
8020001,431140,1
8020001,431140,1
8020001,431140,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
8111700,431140,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
8111700,431140,1
8111700,431140,1
8129000,431140,1
8121400,431680,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
8020001,432145,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
8121400,431680,1
8129000,431140,1
8129000,431140,1
8129000,431140,1
8129000,431140,1
8121400,431140,1
3811400,431140,1
9700500,432130,1
3811400,431680,1
8129000,431140,1
8129000,431140,1
8121400,431140,1
8121400,432260,1
8121400,432260,1
8121400,432260,1
8121400,432260,1
8121400,432260,1
8121400,432260,1
8121400,432260,1
8129000,432130,1
8122200,431215,1
8111700,430780,1
8130300,430100,1
8121400,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8020001,431570,1
8020001,431570,1
8121400,431140,1
8111700,432260,1
8111700,432260,1
8111700,432260,1
8111700,432260,1
8111700,432260,1
8111700,432260,1
8111700,432260,1
8111700,432260,1
8111700,432260,1
8111700,432260,1
3811400,430780,1
3811400,430780,1
3811400,430780,1
3811400,430780,1
8121400,431680,1
8122200,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8111700,431395,1
8111700,431395,1
8129000,432130,1
8111700,430780,1
8020001,432260,1
8020001,432260,1
8020001,432260,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8121400,432260,1
3839401,430780,1
8121400,432260,1
8121400,432260,1
8020001,432260,1
8020001,432260,1
8121400,431680,1
8121400,431680,1
8020001,430420,1
8020001,432260,1
8122200,432070,1
8122200,432070,1
3811400,431570,1
8121400,431680,1
8020001,432260,1
8111700,431140,1
8122200,430780,1
8020001,431140,1
8121400,431680,1
8122200,430120,1
3839401,430780,1
3839401,430780,1
3839401,430780,1
3839401,430780,1
8121400,430780,1
8111700,432260,1
8111700,432260,1
8111700,432260,1
3839401,430780,1
3839401,430780,1
8020001,430240,1
8130300,432260,1
8111700,432260,1
8129000,432130,1
8129000,432130,1
3811400,431140,1
8129000,432130,1
8129000,432130,1
8111700,432145,1
8130300,430620,1
3811400,431140,1
8111700,431140,1
8111700,431680,1
8121400,431680,1
8121400,431680,1
8121400,431140,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431140,1
8121400,431680,1
8121400,431680,1
3811400,431680,1
8121400,431680,1
8020001,431680,1
8020001,431680,1
8130300,432145,1
8130300,432145,1
8130300,432145,1
8130300,432145,1
8130300,432145,1
8130300,432145,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8111700,431680,1
3811400,431140,1
3811400,431140,1
8020001,430780,1
8111700,431140,1
8020001,430650,1
8020001,430650,1
8020001,430650,1
8020001,430650,1
8020001,430650,1
8020001,430650,1
8020001,430650,1
8111700,432130,1
8111700,432130,1
8111700,431680,1
3812200,431140,1
3811400,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8121400,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
8020001,432260,1
8121400,432285,1
8020001,431680,1
8020001,431680,1
8121400,431680,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
3811400,431680,1
8020001,431680,1
8020001,432145,1
8121400,431680,1
8129000,431140,1
8129000,431140,1
8129000,431140,1
8129000,431140,1
8121400,431680,1
8122200,431140,1
8122200,431140,1
8122200,431140,1
8122200,431140,1
8122200,431140,1
8111700,430100,1
8020001,431680,1
8121400,431680,1
8129000,431140,1
8122200,431140,1
3811400,431680,1
8130300,431680,1
8130300,431680,1
8020001,430650,1
8020001,430650,1
8129000,431140,1
8121400,431680,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
3811400,431680,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8121400,431680,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
3811400,431680,1
3811400,431680,1
8122200,430780,1
8122200,430780,1
8122200,430780,1
8122200,430780,1
8122200,430780,1
8130300,431680,1
8130300,431680,1
8130300,431680,1
3811400,430780,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8111700,430780,1
8111700,430780,1
3839401,430780,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
3811400,431415,1
8122200,431140,1
8122200,431140,1
8020001,431140,1
8020001,431140,1
8020001,431140,1
8020001,431140,1
8020001,431140,1
8020001,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
3839401,430780,1
3839401,430780,1
3839401,430780,1
3839401,430780,1
3839401,430780,1
8111700,432260,1
3839401,430780,1
8020001,430240,1
8122200,431140,1
8122200,431140,1
8122200,431140,1
8122200,431140,1
8122200,431140,1
8122200,431140,1
8122200,431140,1
3811400,431140,1
3811400,431140,1
3811400,431140,1
8111700,432260,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
3811400,431140,1
3811400,431140,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
3811400,432260,1
8111700,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431140,1
8020001,431140,1
8020001,431140,1
8020001,431140,1
8020001,431140,1
8020001,431140,1
8020001,431140,1
8121400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431680,1
8111700,431680,1
8111700,431680,1
8111700,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8020001,430650,1
8020001,430650,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8111700,431680,1
8111700,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8121400,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8129000,431140,1
8129000,431140,1
8020001,431140,1
8020001,431140,1
8020001,431140,1
8020001,431140,1
8020001,431140,1
8020001,431140,1
8020001,432260,1
8020001,432260,1
8020001,432260,1
8020001,432260,1
8020001,432260,1
8020001,432260,1
8020001,432260,1
8020001,432260,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8020001,432145,1
8020001,432145,1
8020001,432145,1
8020001,432145,1
8020001,432145,1
8020001,432145,1
8020001,432145,1
8020001,432145,1
8020001,432145,1
8020001,432145,1
8020001,432145,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
3811400,431140,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
3811400,431680,1
8121400,431680,1
3811400,431680,1
8020001,430650,1
8129000,431140,1
8122200,430780,1
8020001,431570,1
8111700,432260,1
3811400,430780,1
8121400,431140,1
8020001,431570,1
8122200,431570,1
3839401,430780,1
3839401,430780,1
3839401,430780,1
3811400,432260,1
8020001,430780,1
8130300,431140,1
3811400,431680,1
8111700,431140,1
8121400,431680,1
8020001,431680,1
8111700,430100,1
8122200,431140,1
8020001,431570,1
8020001,431570,1
3839401,430780,1
8121400,431680,1
8122200,431140,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8020001,431140,1
8020001,431140,1
8121400,431680,1
8020001,431680,1
3811400,431680,1
8111700,431140,1
8111700,431140,1
8111700,431680,1
8020001,431680,1
8020001,432260,1
8121400,431680,1
3811400,431680,1
3811400,431680,1
8129000,431140,1
8122200,430780,1
3839401,430780,1
3839401,430780,1
3839401,430780,1
8121400,431680,1
3839401,430780,1
3839401,430780,1
3839401,430780,1
3839401,430780,1
3811400,431140,1
8111700,431680,1
8020001,431680,1
8020001,431680,1
8020001,431680,1
8121400,431680,1
8129000,431140,1
8122200,431140,1
8020001,430780,1
8020001,431680,1
8121400,431680,1
8129000,432130,1
8020001,431680,1
8020001,431680,1
8020001,431140,1
8020001,431140,1
8121400,431680,1
8020001,431680,1
8020001,431680,1
3811400,431680,1
8020001,431680,1
8121400,431680,1
8129000,431140,1
8121400,431140,1
8121400,431140,1
8121400,432260,1
8121400,432260,1
8121400,431140,1
8121400,431140,1
8020001,431570,1
8020001,431570,1
8121400,432260,1
8121400,431680,1
8129000,430420,1
8111700,432260,1
8111700,432145,1
8121400,431680,1
8121400,431140,1
8121400,431680,1
8111700,431140,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8129000,431140,1
8129000,431140,1
8121400,431140,1
8121400,431680,1
8121400,431140,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8129000,431140,1
8129000,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,432260,1
8121400,431680,1
8121400,431140,1
8121400,431140,1
8121400,432260,1
8121400,431680,1
8121400,431680,1
8129000,430420,1
8121400,431140,1
8121400,431140,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,432260,1
3811400,432070,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8020001,431570,1
8121400,431140,1
8020001,431570,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,432260,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8020001,431570,1
8121400,431680,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,432260,1
8121400,432260,1
8121400,432260,1
8121400,432260,1
8121400,432260,1
8121400,432260,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8129000,430420,1
8111700,432260,1
8111700,432260,1
3811400,432260,1
8111700,432145,1
8111700,432145,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8111700,431140,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
8111700,431140,1
8121400,431680,1
8129000,431140,1
8129000,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8111700,431140,1
8129000,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8111700,431680,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
9700500,431680,1
8121400,432260,1
8121400,431680,1
3839401,430240,1
8130300,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431140,1
8121400,431140,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8121400,431680,1
8121400,431680,1
8020001,431570,1
8020001,431570,1
8121400,431140,1
8020001,431570,1
8020001,431570,1
8121400,432260,1
8121400,431140,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8111700,432260,1
8111700,432145,1
8111700,432145,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431140,1
8121400,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8130300,432145,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8020001,430780,1
8121400,431680,1
8121400,431680,1
8111700,431680,1
8020001,431140,1
8121400,431680,1
8121400,432285,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
3811400,432070,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8129000,431140,1
8129000,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8129000,432130,1
8121400,431140,1
8020001,431570,1
8121400,431680,1
8121400,431140,1
8121400,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8020001,431140,1
3839401,430780,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8129000,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431680,1
8121400,431680,1
3811400,430780,1
8020001,431570,1
8121400,431680,1
8121400,431680,1
8020001,431570,1
8121400,431140,1
8020001,431570,1
8121400,432260,1
8121400,432260,1
8121400,431680,1
8121400,431680,1
8111700,432260,1
8111700,432145,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8020001,431140,1
8121400,431680,1
3811400,431680,1
3811400,431680,1
8121400,431680,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
8122200,431140,1
3811400,431680,1
8121400,431680,1
8129000,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8020001,431140,1
8020001,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8111700,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8129000,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,432260,1
8121400,431680,1
8121400,432260,1
8121400,432260,1
8129000,432130,1
8129000,432130,1
8121400,431680,1
8129000,432130,1
8129000,432130,1
8129000,432130,1
8121400,431680,1
8121400,431680,1
8121400,430100,1
8121400,431140,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8121400,431680,1
8020001,431570,1
8020001,431570,1
8020001,431570,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8111700,432260,1
8111700,432260,1
8111700,432260,1
8111700,432260,1
8121400,431680,1
8121400,431680,1
8121400,431140,1
8121400,431140,1
8121400,431140,1
8020001,431570,1
8020001,431570,1
